Date,JPM UN Equity,USB UN Equity,GS UN Equity,FB UW Equity,AAPL UW Equity,GOOGL UW Equity,GM UN Equity,F UN Equity
24/10/2016,68.87,44.02,175.12,133.28,117.65,835.74,32.98,12.19
25/10/2016,68.8,43.84,175.55,132.29,118.25,828.55,31.6,11.85
26/10/2016,69.13,44.23,177.07,131.04,115.59,822.1,31.58,11.88
27/10/2016,69.23,44.7,177.75,129.69,114.48,817.35,31.33,11.74
28/10/2016,69.11,44.64,177.14,131.29,113.72,819.56,31.32,11.72
31/10/2016,69.26,44.76,178.24,130.99,113.54,809.9,31.6,11.74
01/11/2016,68.97,44.46,178.06,129.5,111.49,805.48,31.48,11.61
02/11/2016,68.68,44,176.58,127.17,111.59,788.42,31.45,11.4
03/11/2016,68.38,44.05,176.21,120,109.83,782.19,31.07,11.35
04/11/2016,67.76,43.93,175.92,120.75,108.84,781.1,31.16,11.34
07/11/2016,69.88,44.92,181.48,122.15,110.41,802.03,32.02,11.58
08/11/2016,70.03,44.98,181.92,124.22,111.06,811.98,31.73,11.48
09/11/2016,73.25,46.67,192.63,123.18,110.88,805.59,30.96,11.58
10/11/2016,76.65,47.61,200.87,120.8,107.79,780.29,32.73,11.94
11/11/2016,76.69,47.9,203.94,119.02,108.43,771.75,34.02,12.28
14/11/2016,79.51,48.73,209.18,115.08,105.71,753.22,33.28,12.06
15/11/2016,79.36,48.7,211.19,117.2,107.11,775.16,33.43,12.04
16/11/2016,77.4,47.87,206.26,116.34,109.99,779.98,33.23,12
17/11/2016,78.02,48.68,209.63,117.79,109.95,786.16,33.42,11.87
18/11/2016,77.71,49.23,210.35,117.02,110.06,775.97,33,11.76
21/11/2016,78.05,49.28,211.08,121.77,111.73,784.8,33.01,11.79
22/11/2016,78.53,49.03,211.11,121.47,111.8,785,33.81,11.89
23/11/2016,78.86,49.35,212.31,120.84,111.23,779,33.86,11.9
25/11/2016,78.83,49.42,211.38,120.38,111.79,780.23,34.25,12.04
28/11/2016,78.32,48.9,210.35,120.41,111.57,785.79,34.05,11.92
29/11/2016,78.92,49.1,211.75,120.87,111.46,789.44,34.57,11.92
30/11/2016,80.17,49.62,219.29,118.42,110.52,775.88,34.53,11.96
01/12/2016,81.79,50.39,226.63,115.1,109.49,764.33,36.43,12.43
02/12/2016,81.6,50,223.36,115.4,109.9,764.46,35.41,12.24
05/12/2016,83.26,50.36,228.55,117.43,109.11,778.22,34.94,12.44
06/12/2016,83.69,50.73,231.38,117.31,109.95,776.18,35.07,12.56
07/12/2016,84.07,51.36,235.56,117.95,111.03,791.47,36.3,13.06
08/12/2016,85.12,51.9,241.45,118.91,112.12,795.17,36.42,13.03
09/12/2016,85.49,52.04,241.85,119.68,113.95,809.45,37.66,13.17
12/12/2016,84.73,51.58,237.17,117.77,113.3,807.9,37.1,12.82
13/12/2016,84.76,51.7,238.55,120.31,115.19,815.34,37.36,12.77
14/12/2016,84.73,51.73,239.93,120.21,115.19,817.89,35.95,12.53
15/12/2016,86,51.98,243,120.57,115.82,815.65,36.24,12.58
16/12/2016,84.94,51.74,238.9,119.87,115.97,809.84,36.37,12.63
19/12/2016,85.43,51.87,239.07,119.24,116.64,812.5,36.4,12.66
20/12/2016,86.53,52.54,243.09,119.09,116.95,815.2,36.61,12.78
21/12/2016,86.75,52.17,241.44,119.04,117.06,812.2,36.42,12.64
22/12/2016,86.89,52.15,240.12,117.4,116.29,809.68,35.69,12.4
23/12/2016,87.05,52.2,240.97,117.27,116.52,807.8,35.69,12.46
